titulo,abstract,clase_pri,clase_otr,clases,categorias
Quantum Neuron: an elementary building block for machine learning on quantum computers,"  Even the most sophisticated artificial neural networks are built by
aggregating substantially identical units called neurons. A neuron receives
multiple signals, internally combines them, and applies a non-linear function
to the resulting weighted sum. Several attempts to generalize neurons to the
quantum regime have been proposed, but all proposals collided with the
difficulty of implementing non-linear activation functions, which is essential
for classical neurons, due to the linear nature of quantum mechanics. Here we
propose a solution to this roadblock in the form of a small quantum circuit
that naturally simulates neurons with threshold activation. Our quantum circuit
defines a building block, the ""quantum neuron"", that can reproduce a variety of
classical neural network constructions while maintaining the ability to process
superpositions of inputs and preserve quantum coherence and entanglement. In
the construction of feedforward networks of quantum neurons, we provide
numerical evidence that the network not only can learn a function when trained
with superposition of inputs and the corresponding output, but that this
training suffices to learn the function on all individual inputs separately.
When arranged to mimic Hopfield networks, quantum neural networks exhibit
properties of associative memory. Patterns are encoded using the simple Hebbian
rule for the weights and we demonstrate attractor dynamics from corrupted
inputs. Finally, the fact that our quantum model closely captures (traditional)
neural network dynamics implies that the vast body of literature and results on
neural networks becomes directly relevant in the context of quantum machine
learning.

    ",Quantum Physics (quant-ph),; Neural and Evolutionary Computing (cs.NE),"['QuantumPhysics(quant-ph)', 'NeuralandEvolutionaryComputing(cs.NE)']","['quant-ph', 'cs.NE']"
Correspondence principle for idempotent calculus and some computer applications,"  This paper is devoted to heuristic aspects of the so-called idempotent
calculus. There is a correspondence between important, useful and interesting
constructions and results over the field of real (or complex) numbers and
similar constructions and results over idempotent semirings in the spirit of N.
Bohr's correspondence principle in Quantum Mechanics.
",General Mathematics (math.GM),,['GeneralMathematics(math.GM)'],['math.GM']
An Applied Study on Educational Use of Facebook as a Web 2.0 Tool: The Sample Lesson of Computer Networks and Communication,"  The main aim of the research was to examine educational use of Facebook. The
Computer Networks and Communication lesson was taken as the sample and the
attitudes of the students included in the study group towards Facebook were
measured in a semi-experimental setup. The students on Facebook platform were
examined for about three months and they continued their education
interactively in that virtual environment. After the-three-month-education
period, observations for the students were reported and the attitudes of the
students towards Facebook were measured by three different measurement tools.
As a result, the attitudes of the students towards educational use of Facebook
and their views were heterogeneous. When the average values of the group were
examined, it was reported that the attitudes towards educational use of
Facebook was above a moderate level. Therefore, it might be suggested that
social networks in virtual environments provide continuity in life long
learning.

    ",Social and Information Networks (cs.SI),,['SocialandInformationNetworks(cs.SI)'],['cs.SI']
Towards Practical Verification of Machine Learning: The Case of Computer Vision Systems,"  Due to the increasing usage of machine learning (ML) techniques in security-
and safety-critical domains, such as autonomous systems and medical diagnosis,
ensuring correct behavior of ML systems, especially for different corner cases,
is of growing importance. In this paper, we propose a generic framework for
evaluating security and robustness of ML systems using different real-world
safety properties. We further design, implement and evaluate VeriVis, a
scalable methodology that can verify a diverse set of safety properties for
state-of-the-art computer vision systems with only blackbox access. VeriVis
leverage different input space reduction techniques for efficient verification
of different safety properties. VeriVis is able to find thousands of safety
violations in fifteen state-of-the-art computer vision systems including ten
Deep Neural Networks (DNNs) such as Inception-v3 and Nvidia's Dave self-driving
system with thousands of neurons as well as five commercial third-party vision
APIs including Google vision and Clarifai for twelve different safety
properties. Furthermore, VeriVis can successfully verify local safety
properties, on average, for around 31.7% of the test images. VeriVis finds up
to 64.8x more violations than existing gradient-based methods that, unlike
VeriVis, cannot ensure non-existence of any violations. Finally, we show that
retraining using the safety violations detected by VeriVis can reduce the
average number of violations up to 60.2%.

    ",Cryptography and Security (cs.CR),; Computer Vision and Pattern Recognition (cs.CV),"['CryptographyandSecurity(cs.CR)', 'ComputerVisionandPatternRecognition(cs.CV)']","['cs.CR', 'cs.CV']"
Fansmitter: Acoustic Data Exfiltration from (Speakerless) Air-Gapped Computers,"  Because computers may contain or interact with sensitive information, they
are often air-gapped and in this way kept isolated and disconnected from the
Internet. In recent years the ability of malware to communicate over an air-gap
by transmitting sonic and ultrasonic signals from a computer speaker to a
nearby receiver has been shown. In order to eliminate such acoustic channels,
current best practice recommends the elimination of speakers (internal or
external) in secure computers, thereby creating a so-called 'audio-gap'. In
this paper, we present Fansmitter, a malware that can acoustically exfiltrate
data from air-gapped computers, even when audio hardware and speakers are not
present. Our method utilizes the noise emitted from the CPU and chassis fans
which are present in virtually every computer today. We show that a software
can regulate the internal fans' speed in order to control the acoustic waveform
emitted from a computer. Binary data can be modulated and transmitted over
these audio signals to a remote microphone (e.g., on a nearby mobile phone). We
present Fansmitter's design considerations, including acoustic signature
analysis, data modulation, and data transmission. We also evaluate the acoustic
channel, present our results, and discuss countermeasures. Using our method we
successfully transmitted data from air-gapped computer without audio hardware,
to a smartphone receiver in the same room. We demonstrated the effective
transmission of encryption keys and passwords from a distance of zero to eight
meters, with bit rate of up to 900 bits/hour. We show that our method can also
be used to leak data from different types of IT equipment, embedded systems,
and IoT devices that have no audio hardware, but contain fans of various types
and sizes.

    ",Cryptography and Security (cs.CR),,['CryptographyandSecurity(cs.CR)'],['cs.CR']
Survey on the attention based RNN model and its applications in computer vision,"  The recurrent neural networks (RNN) can be used to solve the sequence to
sequence problem, where both the input and the output have sequential
structures. Usually there are some implicit relations between the structures.
However, it is hard for the common RNN model to fully explore the relations
between the sequences. In this survey, we introduce some attention based RNN
models which can focus on different parts of the input for each output item, in
order to explore and take advantage of the implicit relations between the input
and the output items. The different attention mechanisms are described in
detail. We then introduce some applications in computer vision which apply the
attention based RNN models. The superiority of the attention based RNN model is
shown by the experimental results. At last some future research directions are
given.

    ",Computer Vision and Pattern Recognition (cs.CV),; Machine Learning (cs.LG),"['ComputerVisionandPatternRecognition(cs.CV)', 'MachineLearning(cs.LG)']","['cs.CV', 'cs.LG']"
Five Experimental Tests on the 5-Qubit IBM Quantum Computer,"  The 5-qubit quantum computer prototypes that IBM has given open access to on
the cloud allow the implementation of real experiments on a quantum processor.
We present the results obtained in five experimental tests performed on these
computers: dense coding, quantum Fourier transforms, Bell's inequality,
Mermin's inequalities (up to $n=5$) and the construction of the prime state
$|p_3\rangle$. These results serve to assess the functioning of the IBM 5Q
chips.

    ",Quantum Physics (quant-ph),,['QuantumPhysics(quant-ph)'],['quant-ph']
QNLP in Practice: Running Compositional Models of Meaning on a Quantum Computer,"  Quantum Natural Language Processing (QNLP) deals with the design and
implementation of NLP models intended to be run on quantum hardware. In this
paper, we present results on the first NLP experiments conducted on Noisy
Intermediate-Scale Quantum (NISQ) computers for datasets of size >= 100
sentences. Exploiting the formal similarity of the compositional model of
meaning by Coecke et al. (2010) with quantum theory, we create representations
for sentences that have a natural mapping to quantum circuits. We use these
representations to implement and successfully train two NLP models that solve
simple sentence classification tasks on quantum hardware. We describe in detail
the main principles, the process and challenges of these experiments, in a way
accessible to NLP researchers, thus paving the way for practical Quantum
Natural Language Processing.

    ",Computation and Language (cs.CL),; Artificial Intelligence (cs.AI); Machine Learning (cs.LG); Quantum Physics (quant-ph),"['ComputationandLanguage(cs.CL)', 'ArtificialIntelligence(cs.AI)', 'MachineLearning(cs.LG)', 'QuantumPhysics(quant-ph)']","['cs.CL', 'cs.AI', 'cs.LG', 'quant-ph']"
A New Generation of Brain-Computer Interface Based on Riemannian Geometry,"  Based on the cumulated experience over the past 25 years in the field of
Brain-Computer Interface (BCI) we can now envision a new generation of BCI.
Such BCIs will not require training; instead they will be smartly initialized
using remote massive databases and will adapt to the user fast and effectively
in the first minute of use. They will be reliable, robust and will maintain
good performances within and across sessions. A general classification
framework based on recent advances in Riemannian geometry and possessing these
characteristics is presented. It applies equally well to BCI based on
event-related potentials (ERP), sensorimotor (mu) rhythms and steady-state
evoked potential (SSEP). The framework is very simple, both algorithmically and
computationally. Due to its simplicity, its ability to learn rapidly (with
little training data) and its good across-subject and across-session
generalization, this strategy a very good candidate for building a new
generation of BCIs, thus we hereby propose it as a benchmark method for the
field.

    ",Human-Computer Interaction (cs.HC),; Differential Geometry (math.DG),"['Human-ComputerInteraction(cs.HC)', 'DifferentialGeometry(math.DG)']","['cs.HC', 'math.DG']"
HoloLens 2 Research Mode as a Tool for Computer Vision Research,"  Mixed reality headsets, such as the Microsoft HoloLens 2, are powerful
sensing devices with integrated compute capabilities, which makes it an ideal
platform for computer vision research. In this technical report, we present
HoloLens 2 Research Mode, an API and a set of tools enabling access to the raw
sensor streams. We provide an overview of the API and explain how it can be
used to build mixed reality applications based on processing sensor data. We
also show how to combine the Research Mode sensor data with the built-in eye
and hand tracking capabilities provided by HoloLens 2. By releasing the
Research Mode API and a set of open-source tools, we aim to foster further
research in the fields of computer vision as well as robotics and encourage
contributions from the research community.

    ",Computer Vision and Pattern Recognition (cs.CV),,['ComputerVisionandPatternRecognition(cs.CV)'],['cs.CV']
ZX-calculus for the working quantum computer scientist,"  The ZX-calculus is a graphical language for reasoning about quantum
computation that has recently seen an increased usage in a variety of areas
such as quantum circuit optimisation, surface codes and lattice surgery,
measurement-based quantum computation, and quantum foundations. The first half
of this review gives a gentle introduction to the ZX-calculus suitable for
those familiar with the basics of quantum computing. The aim here is to make
the reader comfortable enough with the ZX-calculus that they could use it in
their daily work for small computations on quantum circuits and states. The
latter sections give a condensed overview of the literature on the ZX-calculus.
We discuss Clifford computation and graphically prove the Gottesman-Knill
theorem, we discuss a recently introduced extension of the ZX-calculus that
allows for convenient reasoning about Toffoli gates, and we discuss the recent
completeness theorems for the ZX-calculus that show that, in principle, all
reasoning about quantum computation can be done using ZX-diagrams.
Additionally, we discuss the categorical and algebraic origins of the
ZX-calculus and we discuss several extensions of the language which can
represent mixed states, measurement, classical control and higher-dimensional
qudits.

    ",Quantum Physics (quant-ph),,['QuantumPhysics(quant-ph)'],['quant-ph']
A Case for Variability-Aware Policies for NISQ-Era Quantum Computers,"  Recently, IBM, Google, and Intel showcased quantum computers ranging from 49
to 72 qubits. While these systems represent a significant milestone in the
advancement of quantum computing, existing and near-term quantum computers are
not yet large enough to fully support quantum error-correction. Such systems
with few tens to few hundreds of qubits are termed as Noisy Intermediate Scale
Quantum computers (NISQ), and these systems can provide benefits for a class of
quantum algorithms. In this paper, we study the problems of Qubit-Allocation
(mapping of program qubits to machine qubits) and Qubit-Movement(routing qubits
from one location to another to perform entanglement).
",Quantum Physics (quant-ph),; Emerging Technologies (cs.ET),"['QuantumPhysics(quant-ph)', 'EmergingTechnologies(cs.ET)']","['quant-ph', 'cs.ET']"
Addition on a Quantum Computer,"  A new method for computing sums on a quantum computer is introduced. This
technique uses the quantum Fourier transform and reduces the number of qubits
necessary for addition by removing the need for temporary carry bits. This
approach also allows the addition of a classical number to a quantum
superposition without encoding the classical number in the quantum register.
This method also allows for massive parallelization in its execution.

    ",Quantum Physics (quant-ph),,['QuantumPhysics(quant-ph)'],['quant-ph']
Review of the Use of Electroencephalography as an Evaluation Method for Human-Computer Interaction,"  Evaluating human-computer interaction is essential as a broadening population
uses machines, sometimes in sensitive contexts. However, traditional evaluation
methods may fail to combine real-time measures, an ""objective"" approach and
data contextualization. In this review we look at how adding neuroimaging
techniques can respond to such needs. We focus on electroencephalography (EEG),
as it could be handled effectively during a dedicated evaluation phase. We
identify workload, attention, vigilance, fatigue, error recognition, emotions,
engagement, flow and immersion as being recognizable by EEG. We find that
workload, attention and emotions assessments would benefit the most from EEG.
Moreover, we advocate to study further error recognition through neuroimaging
to enhance usability and increase user experience.

    ",Human-Computer Interaction (cs.HC),,['Human-ComputerInteraction(cs.HC)'],['cs.HC']
Next Steps in Quantum Computing: Computer Science's Role,"  The computing ecosystem has always had deep impacts on society and technology
and profoundly changed our lives in myriads of ways. Despite decades of
impressive Moore's Law performance scaling and other growth in the computing
ecosystem there are nonetheless still important potential applications of
computing that remain out of reach of current or foreseeable conventional
computer systems. Specifically, there are computational applications whose
complexity scales super-linearly, even exponentially, with the size of their
input data such that the computation time or memory requirements for these
problems become intractably large to solve for useful data input sizes. Such
problems can have memory requirements that exceed what can be built on the most
powerful supercomputers, and/or runtimes on the order of tens of years or more.
Quantum computing (QC) is viewed by many as a possible future option for
tackling these high-complexity or seemingly-intractable problems by
complementing classical computing with a fundamentally different compute
paradigm.
",Emerging Technologies (cs.ET),; Quantum Physics (quant-ph),"['EmergingTechnologies(cs.ET)', 'QuantumPhysics(quant-ph)']","['cs.ET', 'quant-ph']"
Simulating quantum computers with probabilistic methods,"  We investigate the boundary between classical and quantum computational
power. This work consists of two parts. First we develop new classical
simulation algorithms that are centered on sampling methods. Using these
techniques we generate new classes of classically simulatable quantum circuits
where standard techniques relying on the exact computation of measurement
probabilities fail to provide efficient simulations. For example, we show how
various concatenations of matchgate, Toffoli, Clifford, bounded-depth, Fourier
transform and other circuits are classically simulatable. We also prove that
sparse quantum circuits as well as circuits composed of CNOT and exp[iaX] gates
can be simulated classically. In a second part, we apply our results to the
simulation of quantum algorithms. It is shown that a recent quantum algorithm,
concerned with the estimation of Potts model partition functions, can be
simulated efficiently classically. Finally, we show that the exponential
speed-ups of Simon's and Shor's algorithms crucially depend on the very last
stage in these algorithms, dealing with the classical postprocessing of the
measurement outcomes. Specifically, we prove that both algorithms would be
classically simulatable if the function classically computed in this step had a
sufficiently peaked Fourier spectrum.

    ",Quantum Physics (quant-ph),,['QuantumPhysics(quant-ph)'],['quant-ph']
Image recognition with an adiabatic quantum computer I. Mapping to quadratic unconstrained binary optimization,"  Many artificial intelligence (AI) problems naturally map to NP-hard
optimization problems. This has the interesting consequence that enabling
human-level capability in machines often requires systems that can handle
formally intractable problems. This issue can sometimes (but possibly not
always) be resolved by building special-purpose heuristic algorithms, tailored
to the problem in question. Because of the continued difficulties in automating
certain tasks that are natural for humans, there remains a strong motivation
for AI researchers to investigate and apply new algorithms and techniques to
hard AI problems. Recently a novel class of relevant algorithms that require
quantum mechanical hardware have been proposed. These algorithms, referred to
as quantum adiabatic algorithms, represent a new approach to designing both
complete and heuristic solvers for NP-hard optimization problems. In this work
we describe how to formulate image recognition, which is a canonical NP-hard AI
problem, as a Quadratic Unconstrained Binary Optimization (QUBO) problem. The
QUBO format corresponds to the input format required for D-Wave superconducting
adiabatic quantum computing (AQC) processors.

    ",Quantum Physics (quant-ph),,['QuantumPhysics(quant-ph)'],['quant-ph']
Improving brain computer interface performance by data augmentation with conditional Deep Convolutional Generative Adversarial Networks,"  One of the big restrictions in brain computer interface field is the very
limited training samples, it is difficult to build a reliable and usable system
with such limited data. Inspired by generative adversarial networks, we propose
a conditional Deep Convolutional Generative Adversarial (cDCGAN) Networks
method to generate more artificial EEG signal automatically for data
augmentation to improve the performance of convolutional neural networks in
brain computer interface field and overcome the small training dataset
problems. We evaluate the proposed cDCGAN method on BCI competition dataset of
motor imagery. The results show that the generated artificial EEG data from
Gaussian noise can learn the features from raw EEG data and has no less than
the classification accuracy of raw EEG data in the testing dataset. Also by
using generated artificial data can effectively improve classification accuracy
at the same model with limited training data.

    ",Human-Computer Interaction (cs.HC),; Machine Learning (cs.LG); Neurons and Cognition (q-bio.NC); Machine Learning (stat.ML),"['Human-ComputerInteraction(cs.HC)', 'MachineLearning(cs.LG)', 'NeuronsandCognition(q-bio.NC)', 'MachineLearning(stat.ML)']","['cs.HC', 'cs.LG', 'q-bio.NC', 'stat.ML']"
FixyNN: Efficient Hardware for Mobile Computer Vision via Transfer Learning,"  The computational demands of computer vision tasks based on state-of-the-art
Convolutional Neural Network (CNN) image classification far exceed the energy
budgets of mobile devices. This paper proposes FixyNN, which consists of a
fixed-weight feature extractor that generates ubiquitous CNN features, and a
conventional programmable CNN accelerator which processes a dataset-specific
CNN. Image classification models for FixyNN are trained end-to-end via transfer
learning, with the common feature extractor representing the transfered part,
and the programmable part being learnt on the target dataset. Experimental
results demonstrate FixyNN hardware can achieve very high energy efficiencies
up to 26.6 TOPS/W ($4.81 \times$ better than iso-area programmable
accelerator). Over a suite of six datasets we trained models via transfer
learning with an accuracy loss of $<1\%$ resulting in up to 11.2 TOPS/W -
nearly $2 \times$ more efficient than a conventional programmable CNN
accelerator of the same area.

    ",Computer Vision and Pattern Recognition (cs.CV),; Hardware Architecture (cs.AR); Machine Learning (cs.LG); Machine Learning (stat.ML),"['ComputerVisionandPatternRecognition(cs.CV)', 'HardwareArchitecture(cs.AR)', 'MachineLearning(cs.LG)', 'MachineLearning(stat.ML)']","['cs.CV', 'cs.AR', 'cs.LG', 'stat.ML']"
Unity Perception: Generate Synthetic Data for Computer Vision,"  We introduce the Unity Perception package which aims to simplify and
accelerate the process of generating synthetic datasets for computer vision
tasks by offering an easy-to-use and highly customizable toolset. This
open-source package extends the Unity Editor and engine components to generate
perfectly annotated examples for several common computer vision tasks.
Additionally, it offers an extensible Randomization framework that lets the
user quickly construct and configure randomized simulation parameters in order
to introduce variation into the generated datasets. We provide an overview of
the provided tools and how they work, and demonstrate the value of the
generated synthetic datasets by training a 2D object detection model. The model
trained with mostly synthetic data outperforms the model trained using only
real data.

    ",Computer Vision and Pattern Recognition (cs.CV),,['ComputerVisionandPatternRecognition(cs.CV)'],['cs.CV']
Dynamical mean field theory algorithm and experiment on quantum computers,"  The developments of quantum computing algorithms and experiments for atomic
scale simulations have largely focused on quantum chemistry for molecules,
while their application in condensed matter systems is scarcely explored. Here
we present a quantum algorithm to perform dynamical mean field theory (DMFT)
calculations for condensed matter systems on currently available quantum
computers, and demonstrate it on two quantum hardware platforms. DMFT is
required to properly describe the large class of materials with strongly
correlated electrons. The computationally challenging part arises from solving
the effective problem of an interacting impurity coupled to a bath, which
scales exponentially with system size on conventional computers. An exponential
speedup is expected on quantum computers, but the algorithms proposed so far
are based on real time evolution of the wavefunction, which requires high-depth
circuits and hence very low noise levels in the quantum hardware. Here we
propose an alternative approach, which uses the variational quantum eigensolver
(VQE) method for ground and excited states to obtain the needed quantities as
part of an exact diagonalization impurity solver. We present the algorithm for
a two site DMFT system, which we benchmark using simulations on conventional
computers as well as experiments on superconducting and trapped ion qubits,
demonstrating that this method is suitable for running DMFT calculations on
currently available quantum hardware.

    ",Quantum Physics (quant-ph),; Strongly Correlated Electrons (cond-mat.str-el),"['QuantumPhysics(quant-ph)', 'StronglyCorrelatedElectrons(cond-mat.str-el)']","['quant-ph', 'cond-mat.str-el']"
Computer Stereo Vision for Autonomous Driving,"  As an important component of autonomous systems, autonomous car perception
has had a big leap with recent advances in parallel computing architectures.
With the use of tiny but full-feature embedded supercomputers, computer stereo
vision has been prevalently applied in autonomous cars for depth perception.
The two key aspects of computer stereo vision are speed and accuracy. They are
both desirable but conflicting properties, as the algorithms with better
disparity accuracy usually have higher computational complexity. Therefore, the
main aim of developing a computer stereo vision algorithm for resource-limited
hardware is to improve the trade-off between speed and accuracy. In this
chapter, we introduce both the hardware and software aspects of computer stereo
vision for autonomous car systems. Then, we discuss four autonomous car
perception tasks, including 1) visual feature detection, description and
matching, 2) 3D information acquisition, 3) object detection/recognition and 4)
semantic image segmentation. The principles of computer stereo vision and
parallel computing on multi-threading CPU and GPU architectures are then
detailed.

    ",Computer Vision and Pattern Recognition (cs.CV),,['ComputerVisionandPatternRecognition(cs.CV)'],['cs.CV']
Introducing Cadabra: a symbolic computer algebra system for field theory problems,"  Cadabra is a new computer algebra system designed specifically for the
solution of problems encountered in field theory. It has extensive
functionality for tensor polynomial simplification taking care of Bianchi and
Schouten identities, for fermions and anti-commuting variables, Clifford
algebras and Fierz transformations, implicit coordinate dependence, multiple
index types and many other field theory related concepts. The input format is a
subset of TeX and thus easy to learn. Both a command-line and a graphical
interface are available. The present paper is an introduction to the program
using several concrete problems from gravity, supergravity and quantum field
theory.

    ",High Energy Physics - Theory (hep-th),; General Relativity and Quantum Cosmology (gr-qc); High Energy Physics - Phenomenology (hep-ph),"['HighEnergyPhysics-Theory(hep-th)', 'GeneralRelativityandQuantumCosmology(gr-qc)', 'HighEnergyPhysics-Phenomenology(hep-ph)']","['hep-th', 'gr-qc', 'hep-ph']"
A Real-time Hand Gesture Recognition and Human-Computer Interaction System,"  In this project, we design a real-time human-computer interaction system
based on hand gesture. The whole system consists of three components: hand
detection, gesture recognition and human-computer interaction (HCI) based on
recognition; and realizes the robust control of mouse and keyboard events with
a higher accuracy of gesture recognition. Specifically, we use the
convolutional neural network (CNN) to recognize gestures and makes it
attainable to identify relatively complex gestures using only one cheap
monocular camera. We introduce the Kalman filter to estimate the hand position
based on which the mouse cursor control is realized in a stable and smooth way.
During the HCI stage, we develop a simple strategy to avoid the false
recognition caused by noises - mostly transient, false gestures, and thus to
improve the reliability of interaction. The developed system is highly
extendable and can be used in human-robotic or other human-machine interaction
scenarios with more complex command formats rather than just mouse and keyboard
events.

    ",Computer Vision and Pattern Recognition (cs.CV),,['ComputerVisionandPatternRecognition(cs.CV)'],['cs.CV']
Thumbs up? Sentiment Classification using Machine Learning Techniques,"  We consider the problem of classifying documents not by topic, but by overall
sentiment, e.g., determining whether a review is positive or negative. Using
movie reviews as data, we find that standard machine learning techniques
definitively outperform human-produced baselines. However, the three machine
learning methods we employed (Naive Bayes, maximum entropy classification, and
support vector machines) do not perform as well on sentiment classification as
on traditional topic-based categorization. We conclude by examining factors
that make the sentiment classification problem more challenging.

    ",Computation and Language (cs.CL),; Machine Learning (cs.LG),"['ComputationandLanguage(cs.CL)', 'MachineLearning(cs.LG)']","['cs.CL', 'cs.LG']"
MXNet: A Flexible and Efficient Machine Learning Library for Heterogeneous Distributed Systems,"  MXNet is a multi-language machine learning (ML) library to ease the
development of ML algorithms, especially for deep neural networks. Embedded in
the host language, it blends declarative symbolic expression with imperative
tensor computation. It offers auto differentiation to derive gradients. MXNet
is computation and memory efficient and runs on various heterogeneous systems,
ranging from mobile devices to distributed GPU clusters.
","Distributed, Parallel, and Cluster Computing (cs.DC)",; Machine Learning (cs.LG); Mathematical Software (cs.MS); Neural and Evolutionary Computing (cs.NE),"['Distributed,Parallel,andClusterComputing(cs.DC)', 'MachineLearning(cs.LG)', 'MathematicalSoftware(cs.MS)', 'NeuralandEvolutionaryComputing(cs.NE)']","['cs.DC', 'cs.LG', 'cs.MS', 'cs.NE']"
API design for machine learning software: experiences from the scikit-learn project,"  Scikit-learn is an increasingly popular machine learning li- brary. Written
in Python, it is designed to be simple and efficient, accessible to
non-experts, and reusable in various contexts. In this paper, we present and
discuss our design choices for the application programming interface (API) of
the project. In particular, we describe the simple and elegant interface shared
by all learning and processing units in the library and then discuss its
advantages in terms of composition and reusability. The paper also comments on
implementation details specific to the Python ecosystem and analyzes obstacles
faced by users and developers of the library.

    ",Machine Learning (cs.LG),; Mathematical Software (cs.MS),"['MachineLearning(cs.LG)', 'MathematicalSoftware(cs.MS)']","['cs.LG', 'cs.MS']"
Foolbox: A Python toolbox to benchmark the robustness of machine learning models,"  Even todays most advanced machine learning models are easily fooled by almost
imperceptible perturbations of their inputs. Foolbox is a new Python package to
generate such adversarial perturbations and to quantify and compare the
robustness of machine learning models. It is build around the idea that the
most comparable robustness measure is the minimum perturbation needed to craft
an adversarial example. To this end, Foolbox provides reference implementations
of most published adversarial attack methods alongside some new ones, all of
which perform internal hyperparameter tuning to find the minimum adversarial
perturbation. Additionally, Foolbox interfaces with most popular deep learning
frameworks such as PyTorch, Keras, TensorFlow, Theano and MXNet and allows
different adversarial criteria such as targeted misclassification and top-k
misclassification as well as different distance measures. The code is licensed
under the MIT license and is openly available at
",Machine Learning (cs.LG),; Cryptography and Security (cs.CR); Computer Vision and Pattern Recognition (cs.CV); Machine Learning (stat.ML),"['MachineLearning(cs.LG)', 'CryptographyandSecurity(cs.CR)', 'ComputerVisionandPatternRecognition(cs.CV)', 'MachineLearning(stat.ML)']","['cs.LG', 'cs.CR', 'cs.CV', 'stat.ML']"
TensorFlow: Large-Scale Machine Learning on Heterogeneous Distributed Systems,"  TensorFlow is an interface for expressing machine learning algorithms, and an
implementation for executing such algorithms. A computation expressed using
TensorFlow can be executed with little or no change on a wide variety of
heterogeneous systems, ranging from mobile devices such as phones and tablets
up to large-scale distributed systems of hundreds of machines and thousands of
computational devices such as GPU cards. The system is flexible and can be used
to express a wide variety of algorithms, including training and inference
algorithms for deep neural network models, and it has been used for conducting
research and for deploying machine learning systems into production across more
than a dozen areas of computer science and other fields, including speech
recognition, computer vision, robotics, information retrieval, natural language
processing, geographic information extraction, and computational drug
discovery. This paper describes the TensorFlow interface and an implementation
of that interface that we have built at Google. The TensorFlow API and a
reference implementation were released as an open-source package under the
Apache 2.0 license in November, 2015 and are available at ","Distributed, Parallel, and Cluster Computing (cs.DC)",; Machine Learning (cs.LG),"['Distributed,Parallel,andClusterComputing(cs.DC)', 'MachineLearning(cs.LG)']","['cs.DC', 'cs.LG']"
Taking Human out of Learning Applications: A Survey on Automated Machine Learning,"  Machine learning techniques have deeply rooted in our everyday life. However,
since it is knowledge- and labor-intensive to pursue good learning performance,
human experts are heavily involved in every aspect of machine learning. In
order to make machine learning techniques easier to apply and reduce the demand
for experienced human experts, automated machine learning (AutoML) has emerged
as a hot topic with both industrial and academic interest. In this paper, we
provide an up to date survey on AutoML. First, we introduce and define the
AutoML problem, with inspiration from both realms of automation and machine
learning. Then, we propose a general AutoML framework that not only covers most
existing approaches to date but also can guide the design for new methods.
Subsequently, we categorize and review the existing works from two aspects,
i.e., the problem setup and the employed techniques. Finally, we provide a
detailed analysis of AutoML approaches and explain the reasons underneath their
successful applications. We hope this survey can serve as not only an
insightful guideline for AutoML beginners but also an inspiration for future
research.

    ",Artificial Intelligence (cs.AI),; Machine Learning (cs.LG); Machine Learning (stat.ML),"['ArtificialIntelligence(cs.AI)', 'MachineLearning(cs.LG)', 'MachineLearning(stat.ML)']","['cs.AI', 'cs.LG', 'stat.ML']"
Universal Differential Equations for Scientific Machine Learning,"  In the context of science, the well-known adage ""a picture is worth a
thousand words"" might well be ""a model is worth a thousand datasets."" In this
manuscript we introduce the SciML software ecosystem as a tool for mixing the
information of physical laws and scientific models with data-driven machine
learning approaches. We describe a mathematical object, which we denote
universal differential equations (UDEs), as the unifying framework connecting
the ecosystem. We show how a wide variety of applications, from automatically
discovering biological mechanisms to solving high-dimensional
Hamilton-Jacobi-Bellman equations, can be phrased and efficiently handled
through the UDE formalism and its tooling. We demonstrate the generality of the
software tooling to handle stochasticity, delays, and implicit constraints.
This funnels the wide variety of SciML applications into a core set of training
mechanisms which are highly optimized, stabilized for stiff equations, and
compatible with distributed parallelism and GPU accelerators.

    ",Machine Learning (cs.LG),; Dynamical Systems (math.DS); Quantitative Methods (q-bio.QM); Machine Learning (stat.ML),"['MachineLearning(cs.LG)', 'DynamicalSystems(math.DS)', 'QuantitativeMethods(q-bio.QM)', 'MachineLearning(stat.ML)']","['cs.LG', 'math.DS', 'q-bio.QM', 'stat.ML']"
Distributed GraphLab: A Framework for Machine Learning in the Cloud,"  While high-level data parallel frameworks, like MapReduce, simplify the
design and implementation of large-scale data processing systems, they do not
naturally or efficiently support many important data mining and machine
learning algorithms and can lead to inefficient learning systems. To help fill
this critical void, we introduced the GraphLab abstraction which naturally
expresses asynchronous, dynamic, graph-parallel computation while ensuring data
consistency and achieving a high degree of parallel performance in the
shared-memory setting. In this paper, we extend the GraphLab framework to the
substantially more challenging distributed setting while preserving strong data
consistency guarantees. We develop graph based extensions to pipelined locking
and data versioning to reduce network congestion and mitigate the effect of
network latency. We also introduce fault tolerance to the GraphLab abstraction
using the classic Chandy-Lamport snapshot algorithm and demonstrate how it can
be easily implemented by exploiting the GraphLab abstraction itself. Finally,
we evaluate our distributed implementation of the GraphLab abstraction on a
large Amazon EC2 deployment and show 1-2 orders of magnitude performance gains
over Hadoop-based implementations.

    ",Databases (cs.DB),; Machine Learning (cs.LG),"['Databases(cs.DB)', 'MachineLearning(cs.LG)']","['cs.DB', 'cs.LG']"
